File;Line;Function;Executable Source Lines;Executable Source Lines Covered;Instructions;Instructions Covered;Run Count;Instructions Executed
nrfx_gpiote.c;332;channel_allocated_clr(unsigned char);1;0;8;0;0;0
nrfx_gpiote.c;327;channel_allocated_set(unsigned char);1;0;7;0;0;0
nrf_rtc_timer.c;420;channel_processing_check_and_clear(int);11;0;41;0;0;0
printk.c;113;char_out(int, void*);3;3;8;8;61;488
gpio_nrfx.c;403;check_level_trigger_pins(const struct device*, unsigned int*);23;0;57;0;0;0
flatbuffer_conversions.cc;67;CheckParsePointerParams(const struct Operator*, class ErrorReporter*, class BuiltinDataAllocator*, void**);5;1;10;2;10;20
;0;chunk_field(struct z_heap*, unsigned int, enum chunk_fields) (always inlined);0;0;0;0;0;0
;0;chunk_header_bytes(struct z_heap*) (always inlined);0;0;0;0;0;0
;0;chunk_set(struct z_heap*, unsigned int, enum chunk_fields, unsigned int) (always inlined);0;0;0;0;0;0
;0;chunk_size(struct z_heap*, unsigned int) (always inlined);0;0;0;0;0;0
;0;chunksz(unsigned int) (always inlined);0;0;0;0;0;0
clock_control_nrf.c;643;clk_init(const struct device*);12;9;38;33;1;82
clock_control_nrf.c;175;clkstarted_handle(const struct device*, enum clock_control_nrf_type);8;7;15;14;1;14
clock_control_nrf.c;572;clock_event_handler(enum nrfx_clock_evt_type_t);11;4;26;8;1;8
;0;cmse_TT(void*) (always inlined);0;0;0;0;0;0
micro_allocator.cc;327;CommitPlan(class ErrorReporter*, class MemoryPlanner*, unsigned char*, const struct AllocationInfo*, unsigned int);8;7;39;38;1;398
nrf_rtc_timer.c;125;compare_int_lock(int);8;6;22;18;1;20
nrf_rtc_timer.c;145;compare_int_unlock(int, _Bool);7;3;24;16;1;18
nrf_rtc_timer.c;295;compare_set(int, long long unsigned int, void(int, long long unsigned int, void*)*, void*);5;5;22;22;1;22
nrf_rtc_timer.c;261;compare_set_nolocks(int, long long unsigned int, void(int, long long unsigned int, void*)*, void*);14;8;57;40;1;43
thread.c;294;configure_builtin_stack_guard(struct k_thread*);2;2;3;3;55686;167058
getchar.c;37;console_getchar();4;2;12;10;27370;273696
getchar.c;50;console_init();9;5;28;21;1;21
uart_console.c;76;console_out(int);9;8;26;25;5307;93955
;0;conversion_radix(char) (always inlined);0;0;0;0;0;0
flatbuffer_conversions.cc;105;ConvertActivation(enum ActivationFunctionType);1;1;6;6;10;41
flatbuffer_conversions.cc;859;ConvertTensorType(enum TensorType, enum TfLiteType*, class ErrorReporter*);37;5;76;13;115;1035
submitter_implemented.cpp;78;copy_input();3;2;13;12;5;19235
nrf_rtc.h;371;counter();1;1;3;3;27385;82155
nrf_rtc_timer.c;55;counter_sub(unsigned int, unsigned int);1;1;3;3;3;9
mem_slab.c;26;create_free_list(struct k_mem_slab*);6;4;21;18;1;587
micro_allocator.cc;303;CreatePlan(class ErrorReporter*, class GreedyMemoryPlanner*, const struct AllocationInfo*, unsigned int);8;5;49;37;1;438
uart_console.c;48;debug_hook_out_nop(char);1;1;2;2;5307;10614
fault.c;609;debug_monitor(struct __esf*, _Bool*);2;0;3;0;0;0
debug_log.cc;43;DebugLog(const char*);2;0;9;0;0;0
;0;Dequantize<short int, float>(const struct DequantizationParams&, const class RuntimeShape&, const short int*, const class RuntimeShape&, float*) (always inlined);0;0;0;0;0;0
;0;Dequantize<signed char, float>(const struct DequantizationParams&, const class RuntimeShape&, const signed char*, const class RuntimeShape&, float*) (always inlined);0;0;0;0;0;0
;0;Dequantize<unsigned char, float>(const struct DequantizationParams&, const class RuntimeShape&, const unsigned char*, const class RuntimeShape&, float*) (always inlined);0;0;0;0;0;0
;0;DequantizeInt8ToFloat(signed char, float, int) (always inlined);0;0;0;0;0;0
;0;dequeue_thread(void*, struct k_thread*) (always inlined);0;0;0;0;0;0
;0;device_is_ready(const struct device*) (always inlined);0;0;0;0;0;0
;0;device_usable_check(const struct device*) (always inlined);0;0;0;0;0;0
fixedpoint.h;64;Dup<int>(int);1;1;1;1;2533080;2533080
internally_implemented.cpp;98;ee_benchmark_initialize();9;7;13;12;1;12
internally_implemented.cpp;197;ee_buffer_parse(char*);47;17;133;60;410;267765
internally_implemented.cpp;321;ee_get_buffer(unsigned char*, unsigned int);5;2;13;9;5;50
internally_implemented.cpp;289;ee_hexdec(char*);11;7;28;19;12800;337842
unique_ptr.h;153;ee_infer(unsigned int, unsigned int);20;17;30;27;5;1625
internally_implemented.cpp;110;ee_profile_parse(char*);34;9;95;39;413;6684
flatbuffers.h;2449;ee_serial_callback(char);10;7;27;23;27369;382338
internally_implemented.cpp;74;ee_serial_command_parser_callback(char*);9;4;34;22;414;9519
timeout.c;62;elapsed();2;1;9;6;27370;191590
micro_utils.cc;28;ElementCount(const struct TfLiteIntArray&);3;0;12;0;0;0
cbprintf_complete.c;788;encode_uint(long long unsigned int, struct conversion*, char*, const char*);14;5;90;40;1;45
sched.c;1467;end_thread(struct k_thread*);19;0;55;0;0;0
base.h;390;EndianScalar<float>(float);1;1;1;1;42;42
base.h;390;EndianScalar<int>(int);1;1;1;1;15476;15476
base.h;390;EndianScalar<long long int>(long long int);1;1;1;1;84;84
base.h;390;EndianScalar<short unsigned int>(short unsigned int);1;1;1;1;30510;30510
base.h;390;EndianScalar<signed char>(signed char);1;1;1;1;134;134
base.h;390;EndianScalar<unsigned char>(unsigned char);1;1;1;1;10;10
base.h;390;EndianScalar<unsigned int>(unsigned int);1;1;1;1;37607;37607
uart_nrfx_uarte.c;192;endtx_isr(const struct device*);8;0;16;0;0;0
uart_nrfx_uarte.c;1646;endtx_stoptx_ppi_init(struct NRF_UARTE_Type*, struct uarte_nrfx_data*);9;7;21;18;1;18
;0;EnumNameBuiltinOperator(enum BuiltinOperator) (always inlined);0;0;0;0;0;0
error_reporter.cc;20;ErrorReporter::Report(const class ErrorReporter*, const char*);4;0;13;0;0;0
error_reporter.cc;30;ErrorReporter::ReportError(const class ErrorReporter*, void*, const char*);4;0;13;0;0;0
fully_connected.cc;64;Eval(struct TfLiteContext*, struct TfLiteNode*);73;32;596;279;5050;2225107972
dequantize.cc;78;Eval(struct TfLiteContext*, struct TfLiteNode*);32;0;354;0;0;0
quantize_common.cc;78;EvalQuantizeReference(struct TfLiteContext*, struct TfLiteNode*);62;0;1181;0;0;0
nrf_rtc_timer.c;70;event_clear(int);3;3;9;9;1;9
nrf_rtc_timer.c;80;event_disable(int);2;0;6;0;0;0
nrf_rtc_timer.c;75;event_enable(int);2;1;6;5;1;5
;0;exit_pos_ops(struct pm_state_info) (always inlined);0;0;0;0;0;0
;0;extract_conversion(struct conversion*, const char*) (always inlined);0;0;0;0;0;0
cbprintf_complete.c;318;extract_decimal(const char**);6;6;17;17;3;45
;0;extract_flags(struct conversion*, const char*) (always inlined);0;0;0;0;0;0
;0;extract_length(struct conversion*, const char*) (always inlined);0;0;0;0;0;0
;0;extract_prec(struct conversion*, const char*) (always inlined);0;0;0;0;0;0
;0;extract_specifier(struct conversion*, const char*) (always inlined);0;0;0;0;0;0
;0;extract_width(struct conversion*, const char*) (always inlined);0;0;0;0;0;0
micro_string.cc;119;FastFloatToBufferLeft(float, char*);38;0;107;0;0;0
micro_string.cc;92;FastInt32ToBufferLeft(int, char*);5;0;10;0;0;0
micro_string.cc;73;FastUInt32ToBufferLeft(unsigned int, char*, int);12;0;25;0;0;0
fault.c;740;fault_handle(struct __esf*, int, _Bool*);14;0;24;0;0;0
;0;fire_callbacks(const struct device*, unsigned int) (always inlined);0;0;0;0;0;0
dlist.h;272;first();2;0;8;6;27370;191590
micro_allocator.cc;354;FlatBufferVectorToTfLiteTypeArray<float, TfLiteFloatArray>(class SimpleMemoryAllocator*, class ErrorReporter*, const class Vector<float>*, struct TfLiteFloatArray**);1;0;8;4;42;168
micro_allocator.cc;354;FlatBufferVectorToTfLiteTypeArray<int, TfLiteIntArray>(class SimpleMemoryAllocator*, class ErrorReporter*, const class Vector<int>*, struct TfLiteIntArray**);1;0;8;4;93;372
;0;FlatSizeSkipDim(const class RuntimeShape&, int) (always inlined);0;0;0;0;0;0
micro_string.cc;228;FormatFloat(char*, float);2;0;7;0;0;0
micro_string.cc;224;FormatHex(char*, unsigned int);2;0;8;0;0;0
micro_string.cc;216;FormatInt32(char*, int);2;0;7;0;0;0
micro_string.cc;220;FormatUInt32(char*, unsigned int);2;0;8;0;0;0
;0;fprintf;0;0;13;0;0;0
;0;free;0;0;5;0;0;0
heap.c;77;free_list_add(struct z_heap*, unsigned int);9;0;32;0;0;0
heap.c;51;free_list_add_bidx(struct z_heap*, unsigned int, int);12;0;59;0;0;0
;0;frexp;0;0;36;26;10;270
asm_inline_gcc.h;56;full_int_lock();2;0;5;0;0;0
asm_inline_gcc.h;95;full_int_unlock(unsigned int);1;0;3;0;0;0
;0;FullyConnected(const struct FullyConnectedParams&, const class RuntimeShape&, const float*, const class RuntimeShape&, const float*, const class RuntimeShape&, const float*, const class RuntimeShape&, float*) (always inlined);0;0;0;0;0;0
;0;FullyConnectedOptions::asymmetric_quantize_inputs(const struct FullyConnectedOptions*) (always inlined);0;0;0;0;0;0
;0;FullyConnectedOptions::fused_activation_function(const struct FullyConnectedOptions*) (always inlined);0;0;0;0;0;0
;0;FullyConnectedOptions::keep_num_dims(const struct FullyConnectedOptions*) (always inlined);0;0;0;0;0;0
;0;FullyConnectedOptions::weights_format(const struct FullyConnectedOptions*) (always inlined);0;0;0;0;0;0
